kode_pintu	tinggi_air	kode_kota	banjir
16	680	1	1
6	0	2	1
9	9580	0	1
10	890	3	1
11	7070	0	1
12	1720	2	1
20	1800	2	1
14	-720	2	1
7	470	0	1
17	2360	4	1
8	1670	0	1
19	2860	3	1
13	1500	2	1
18	2060	3	1
3	400	1	1
16	680	1	1
6	0	2	1
9	9450	0	1
10	730	3	1
12	1740	2	1
20	1780	2	1
14	-430	2	1
7	450	0	1
8	1630	0	1
17	2270	4	1
13	1510	2	1
19	2850	3	1
15	1330	0	1
18	2110	3	1
5	2000	0	1
6	0	2	1
5	2000	0	1
5	2000	0	1
3	400	1	1
20	1810	2	1
7	440	0	1
8	750	0	1
13	1510	2	1
15	300	0	1
16	680	1	1
18	2150	3	1
6	0	2	1
3	400	1	1
20	1930	2	1
7	430	0	1
9	9190	0	1
10	410	3	1
12	1730	2	1
8	1570	0	1
14	-650	2	1
13	1600	2	1
15	1670	0	1
17	2030	4	1
16	680	1	1
19	2800	3	1
18	2210	3	1
6	0	2	1
3	400	1	1
4	1200	0	1
9	9170	0	1
10	230	3	1
12	1710	2	1
5	1000	0	1
14	-460	2	1
4	1200	0	1
5	1000	0	1
17	1910	4	1
4	1200	0	1
19	2700	3	1
5	1000	0	1
20	1970	2	1
7	420	0	1
8	1590	0	1
11	6400	0	1
13	1560	2	1
11	6400	0	1
15	1790	0	1
16	680	1	1
18	1870	3	1
9	9120	0	1
10	210	3	1
12	1700	2	1
6	0	2	1
14	-720	2	1
3	400	1	1
17	1900	4	1
20	2020	2	1
19	2660	3	1
7	420	0	1
8	1600	0	1
13	1630	2	1
15	1850	0	1
16	680	1	1
18	2110	3	1
9	9070	0	1
10	220	3	1
12	1720	2	1
3	400	1	1
14	-690	2	1
6	0	2	1
17	1880	4	1
20	2030	2	1
19	2650	3	1
7	410	0	1
11	6400	0	1
11	6400	0	1
8	1610	0	1
13	1660	2	1
15	1820	0	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
1	2500	1	1
16	920	1	1
18	2380	3	1
9	9110	0	1
10	240	3	1
12	1730	2	1
4	1300	0	1
14	-650	2	1
4	1300	0	1
4	1300	0	1
17	1860	4	1
4	1300	0	1
19	2630	3	1
4	1300	0	1
4	1300	0	1
4	1300	0	1
4	1300	0	1
4	1300	0	1
9	9060	0	1
10	240	3	1
12	1720	2	1
4	1300	0	1
14	-560	2	1
4	1300	0	1
4	1300	0	1
17	1880	4	1
4	1300	0	1
19	2620	3	1
4	1300	0	1
4	1300	0	1
4	1300	0	1
3	400	1	1
15	1750	0	1
16	1150	1	1
6	0	2	1
11	6400	0	1
11	6400	0	1
20	2130	2	1
7	400	0	1
17	1980	4	1
17	1980	4	1
0	0	0	1
8	1550	0	1
13	1630	2	1
9	9080	0	1
10	250	3	1
18	2640	3	1
14	-550	2	1
6	0	2	1
5	1150	0	1
19	2630	3	1
5	1150	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
12	1730	2	1
5	1150	0	1
5	1150	0	1
5	1150	0	1
0	-20	0	1
5	1150	0	1
5	1150	0	1
9	9060	0	1
10	260	3	1
12	1740	2	1
5	1150	0	1
14	-370	2	1
5	1150	0	1
5	1150	0	1
19	2640	3	1
20	2230	2	1
7	400	0	1
11	6400	0	1
8	1540	0	1
11	6400	0	1
13	1680	2	1
11	6400	0	1
15	1750	0	1
16	1500	1	1
18	2800	3	1
6	0	2	1
0	0	0	1
20	2230	2	1
7	390	0	1
9	9020	0	1
10	270	3	1
12	1760	2	1
8	1510	0	1
14	-750	2	1
13	1580	2	1
15	1730	0	1
17	1990	4	1
16	1670	1	1
19	2640	3	1
18	2860	3	1
6	0	2	1
20	2190	2	1
0	130	0	1
7	390	0	1
8	1530	0	1
9	8920	0	1
10	280	3	1
12	1770	2	1
13	1680	2	1
14	-480	2	1
15	1750	0	1
17	2000	4	1
16	1790	1	1
19	2640	3	1
18	2880	3	1
6	0	2	1
20	2210	2	1
7	390	0	1
8	1770	0	1
13	1710	2	1
15	1880	0	1
16	1860	1	1
18	2900	3	1
16	1890	1	1
6	0	2	1
20	2180	2	1
7	400	0	1
8	2020	0	1
13	1760	2	1
15	1990	0	1
18	2930	3	1
6	0	2	1
20	2210	2	1
7	450	0	1
8	2040	0	1
13	1740	2	1
11	6400	0	1
15	2140	0	1
0	260	0	1
16	1910	1	1
18	2940	3	1
9	8970	0	1
10	290	3	1
12	1780	2	1
6	0	2	1
14	-520	2	1
20	2210	2	1
17	2010	4	1
7	770	0	1
19	2650	3	1
8	2070	0	1
13	1770	2	1
0	300	0	1
15	2370	0	1
16	1890	1	1
9	8920	0	1
10	290	3	1
12	1810	2	1
18	2950	3	1
14	-520	2	1
6	0	2	1
20	2310	2	1
17	2020	4	1
7	1260	0	1
19	2660	3	1
8	2120	0	1
13	1860	2	1
15	2450	0	1
16	1850	1	1
18	2960	3	1
7	1300	0	1
16	1850	1	1
7	1300	0	1
6	0	2	1
11	6300	0	1
11	6300	0	1
5	3200	0	1
0	320	0	1
5	3200	0	1
5	3200	0	1
9	8880	0	1
10	300	3	1
12	1840	2	1
20	2310	2	1
14	-420	2	1
8	2340	0	1
13	1920	2	1
2	3440	1	1
17	2020	4	1
